,Unnamed: 0,movie_name,movie_rank,movie_year,movie_dir,critic_name,critic_org,critic_cn
160,160, Mulholland Drive ,1,2001,David Lynch,NT Binh,Positif,France
161,161, Talk to Her ,2,2002,Pedro Almodóvar,NT Binh,Positif,France
162,162, The Assassin ,3,2015,Hou Hsiao-hsien,NT Binh,Positif,France
163,163, Million Dollar Baby ,4,2004,Clint Eastwood,NT Binh,Positif,France
164,164, In the Mood for Love ,5,2000,Wong Kar-wai,NT Binh,Positif,France
165,165, Leviathan ,6,2014,Andrey Zvyagintsev,NT Binh,Positif,France
166,166, A Touch of Sin ,7,2013,Jia Zhangke,NT Binh,Positif,France
167,167, Distant ,8,2002,Nuri Bilge Ceylan,NT Binh,Positif,France
168,168, The New World ,9,2005,Terrence Malick,NT Binh,Positif,France
169,169, A Prophet ,10,2009,Jacques Audiard,NT Binh,Positif,France
170,170, Timbuktu ,1,2014,Abderrahmane Sissako,Lizelle Bisschoff,University of Glasgow,UK
171,171, Blue Is the Warmest Color ,2,2013,Abdellatif Kechiche,Lizelle Bisschoff,University of Glasgow,UK
172,172, Moolaadé ,3,2004,Ousmane Sembèène,Lizelle Bisschoff,University of Glasgow,UK
173,173, A Separation ,4,2011,Asghar Farhadi,Lizelle Bisschoff,University of Glasgow,UK
174,174, The Secret in Their Eyes ,5,2009,Juan José Campanella,Lizelle Bisschoff,University of Glasgow,UK
175,175, Oldboy ,6,2003,Park Chan-wook,Lizelle Bisschoff,University of Glasgow,UK
176,176, In the Mood for Love ,7,2000,Wong Kar-wai,Lizelle Bisschoff,University of Glasgow,UK
177,177, Fat Girl ,8,2001,Catherine Breillat,Lizelle Bisschoff,University of Glasgow,UK
178,178, The Orphanage ,9,2007,J. A. Bayona,Lizelle Bisschoff,University of Glasgow,UK
179,179, The Hunt ,10,2012,Thomas Vinterberg,Lizelle Bisschoff,University of Glasgow,UK
180,180, Spring Breakers ,1,2012,Harmony Korine,Christian Blauvelt,BBC Culture,US
181,181, My Winnipeg ,2,2007,Guy Maddin,Christian Blauvelt,BBC Culture,US
182,182, The Ghost Writer ,3,2010,Roman Polanski,Christian Blauvelt,BBC Culture,US
183,183, Moulin Rouge! ,4,2001,Baz Luhrmann,Christian Blauvelt,BBC Culture,US
184,184, Star Wars: Episode III – Revenge of the Sith ,5,2005,George Lucas,Christian Blauvelt,BBC Culture,US
